trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
118,False,"{'a': 0.5, 'e': 0.08533423963694374}",35,6,-8.78347183310845,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 1}",1
119,False,"{'a': 0.5, 'e': 0.083445835173017693}",35,26,15.636334872858782,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.081594823622810828}",25,5,-11.645946086580745,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",1
121,False,"{'a': 0.5, 'e': 0.079780464557022576}",25,6,14.67591913597043,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.078002032207834845}",20,13,12.098275389337253,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.076258815178595216}",30,13,17.190076827509447,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.074550116159248794}",20,14,11.98513139716832,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.072875251647404882}",25,12,24.399236888577832,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.071233551674926912}",20,16,8.699629204884417,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.069624359539936259}",20,0,5.319845750925523,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
128,False,"{'a': 0.5, 'e': 0.068047031544122755}",35,14,18.903864703427235,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.066500936735256755}",20,16,7.063394257899901,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.06498545665479985}",20,3,24.621096969862393,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.063499985090513175}",25,8,28.3692294751194,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.062043927833964466}",20,6,26.07394065572704,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.060616702442836748}",20,3,25.55685268098557,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.059217738007943638}",20,14,12.361713778065802,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.057846474924858081}",25,9,31.781640782951808,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.056502364670063088}",30,19,23.422575020600025,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.055184869581535026}",20,13,15.295117560424812,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.053893462643671654}",25,15,17.38447015387421,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.052627627276478836}",25,2,43.922065828883426,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.051386857128931672}",20,14,11.715467361927153,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.050170655876427314}",35,22,24.896411231564258,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.048978537022248525}",20,11,5.024001229511798,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.047810023702958511}",20,6,31.006672538422585,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.046664648497649161}",25,17,14.558667604942498,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.045541953240966486}",20,9,21.731319405729415,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.044441488839838339}",20,9,20.74921620069299,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.04336281509383122}",20,12,16.945723927754607,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.042305500519064211}",20,11,4.4649299717625714,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.041269122175609692}",20,0,30.616747095568318,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
150,False,"{'a': 0.5, 'e': 0.040253265498311722}",20,11,18.09837864054333,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.039257524130954444}",30,19,19.77874984489717,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.038281499763714186}",25,13,24.157057785461703,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.037324801973830216}",20,6,27.364542787736397,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.036387048069430446}",30,11,31.791970588487434,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.03546786293644956}",20,10,21.65002538437912,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.034566878888578401}",20,14,12.29498321146889,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.033683735520184541}",20,13,12.355070141842281,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.032818079562145219}",20,10,20.677120064308824,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.031969564740534993}",25,19,5.792628483891656,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.03113785163811153}",20,10,16.257774475235333,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.030322607558544205}",25,11,22.427537404193473,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.029523506393331126}",20,7,23.858742917626042,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.028740228491351386}",25,9,28.439921515243046,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.027972460531000345}",20,10,20.305760626094617,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.027219895394856822}",30,14,30.400863383236274,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.026482232046832022}",20,16,8.63906939816049,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.025759175411751094}",20,8,27.009681773690545,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.02505043625731912}",20,9,21.877316215718835,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.024355731078424349}",25,3,38.23365544775423,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.023674781983732362}",20,12,14.614233141201757,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.023007316584525841}",20,3,17.977223826349842,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.022353067885745443}",30,13,31.412576128152743,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.021711774179188226}",20,10,17.26035908868465,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.021083178938820873}",25,10,24.857665051143805,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.02046703071816585}",20,11,17.0137135262228,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.019863083049719479}",20,0,9.496795212633227,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
177,False,"{'a': 0.5, 'e': 0.01927109434636164}",35,18,31.153607965623355,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.018690827804717699}",30,16,24.338642080317896,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.018122051310434008}",35,18,31.854572252555112,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.017564537345329069}",20,5,33.50034796248102,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.017018062896383218}",20,13,13.891640525885638,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.016482409366530455}",25,3,32.81465265973798,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.015957362487216697}",25,11,27.32615789361706,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.5, 'e': 0.015442712232689499}",25,13,24.185474853898324,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.5, 'e': 0.014938252735984954}",20,9,24.15863452598019,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.5, 'e': 0.014443782206578167}",20,5,24.803084504700028,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.5, 'e': 0.013959102849664345}",25,13,21.263065979237215,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.5, 'e': 0.013484020787038245}",25,17,17.583970494018615,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.5, 'e': 0.013018345979540304}",35,15,36.525127332833065,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.5, 'e': 0.012561892151038444}",25,7,28.080766944624454,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.5, 'e': 0.012114476713915131}",25,13,24.47908331347317,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
